Origen,Destino,HoraSalida,HoraLlegada,Capacidad
SKBO,SEQM,03:34,05:21,300
SEQM,SKBO,04:29,06:16,340
SKBO,SEQM,14:22,16:09,320
SEQM,SKBO,08:05,10:52,320
SKBO,SEQM,19:01,21:48,340
SEQM,SKBO,19:55,21:42,360
SKBO,SVMI,07:24,11:47,300
SVMI,SKBO,06:33,08:56,340
SKBO,SVMI,13:56,17:19,360
SVMI,SKBO,14:35,16:58,340
SKBO,SBBR,05:15,08:42,380
SBBR,SKBO,09:30,12:57,380
SKBO,SPIM,06:45,08:32,320
SPIM,SKBO,11:20,13:07,320
SKBO,SLLP,08:15,10:38,280
SLLP,SKBO,14:45,17:08,280
SKBO,SCEL,07:30,12:15,400
SCEL,SKBO,15:20,20:05,400
SKBO,SABE,09:45,14:22,420
SABE,SKBO,16:30,21:07,420
SEQM,SVMI,05:20,06:45,300
SVMI,SEQM,12:30,13:55,300
SEQM,SBBR,08:15,12:40,350
SBBR,SEQM,14:25,18:50,350
SEQM,SPIM,06:40,08:05,280
SPIM,SEQM,10:15,11:40,280
SPIM,SLLP,09:30,10:55,250
SLLP,SPIM,15:45,17:10,250
SPIM,SCEL,11:20,13:45,320
SCEL,SPIM,17:30,19:55,320
SPIM,SABE,08:45,13:20,380
SABE,SPIM,16:15,20:50,380
EBCI,EDDI,07:15,09:30,200
EDDI,EBCI,12:45,15:00,200
EBCI,LOWW,08:30,11:15,180
LOWW,EBCI,14:20,17:05,180
EBCI,LKPR,09:45,12:20,190
LKPR,EBCI,15:30,18:05,190
EBCI,EHAM,06:50,08:45,220
EHAM,EBCI,11:15,13:10,220
UBBB,OMDB,05:30,08:15,250
OMDB,UBBB,10:45,13:30,250
UBBB,OERK,07:20,10:05,240
OERK,UBBB,12:30,15:15,240
UBBB,OSDI,08:45,10:30,200
OSDI,UBBB,14:15,16:00,200
UBBB,VIDP,06:15,11:40,300
VIDP,UBBB,13:20,18:45,300
