=========================================================================
                    REPORTE DETALLADO: RUTAS POR PEDIDOS
=========================================================================
⏰ HORARIOS UTC+0: ID pedido, salida y llegada del plan de vuelo
✈️ DURACIÓN: Continental 12h, Intercontinental 24h (+2h escalas)
📝 TIEMPO GRACIA: 2h entre pedido y primer vuelo disponible
🌍 CONTINENTES: S=Sudamérica, E/L=Europa, O/U/V=Asia

ID PEDIDO UTC+0           | DESTINO  | CANT | TIPO RUTA  | SALIDA UTC+0       | LLEGADA UTC+0      | RUTA COMPLETA                 
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
✅ 17-20-47-SKBO-324-0000015 | SKBO     |  324 | DIRECTA    | D17 22:47 UTC    | D18 10:47 UTC    | SPIM → SKBO                   
✅ 17-10-46-OJAI-303-0000023 | OJAI     |  303 | DIVIDIDO   | D17 12:46 UTC    | D18 23:46 UTC    | DIVIDIDO → D17-15:17[300](DIR), D18-15:17[3](DIR)
✅ 19-15-32-LATI-210-0000008 | LATI     |  210 | DIRECTA    | D19 17:32 UTC    | D20 05:32 UTC    | EBCI → LATI                   
✅ 01-05-22-SGAS-217-0000007 | SGAS     |  217 | DIRECTA    | D1 07:22 UTC     | D1 18:22 UTC     | SPIM → SGAS                   
✅ 13-06-20-LOWW-313-0000010 | LOWW     |  313 | DIRECTA    | D13 08:20 UTC    | D13 20:20 UTC    | EBCI → LOWW                   
✅ 14-13-36-SKBO-341-0000001 | SKBO     |  341 | DIVIDIDO   | D14 15:36 UTC    | D15 11:36 UTC    | DIVIDIDO → D14-08:02[300](DIR), D14-18:09[41](DIR)
✅ 22-05-44-UMMS-223-0000013 | UMMS     |  223 | DIRECTA    | D22 07:44 UTC    | D22 17:44 UTC    | UBBB → UMMS                   
✅ 04-16-49-SEQM-224-0000015 | SEQM     |  224 | DIRECTA    | D4 18:49 UTC     | D5 06:49 UTC     | SPIM → SEQM                   
✅ 02-12-09-OERK-325-0000014 | OERK     |  325 | DIRECTA    | D2 14:09 UTC     | D3 03:09 UTC     | UBBB → OERK                   
✅ 01-03-21-OPKC-288-0000003 | OPKC     |  288 | DIRECTA    | D1 05:21 UTC     | D1 16:21 UTC     | UBBB → OPKC                   
