ID_PRODUCTO;PEDIDO;TIPO_RUTA;ESCALAS;ORIGEN;DESTINO;RUTA_DETALLADA
01-00-57-OPKC-320-0000308-PROD-0001;01-00-57-OPKC-320-0000308;DIRECTO_FORZADO_ESCALA;0;null;OPKC;null → OPKC (DIRECTO_FORZADO_ESCALA)
01-00-08-EHAM-287-0000011-PROD-0001;01-00-08-EHAM-287-0000011;DIRECTO_FORZADO_ESCALA;0;null;EHAM;null → EHAM (DIRECTO_FORZADO_ESCALA)
01-01-33-OMDB-251-0000011-PROD-0001;01-01-33-OMDB-251-0000011;DIRECTO_FORZADO_ESCALA;0;null;OMDB;null → OMDB (DIRECTO_FORZADO_ESCALA)
01-07-21-OPKC-288-0000003-PROD-0001;01-07-21-OPKC-288-0000003;DIRECTO_FORZADO_ESCALA;0;null;OPKC;null → OPKC (DIRECTO_FORZADO_ESCALA)
01-07-07-OAKB-230-0000264-PROD-0001;01-07-07-OAKB-230-0000264;DIRECTO_FORZADO_ESCALA;0;null;OAKB;null → OAKB (DIRECTO_FORZADO_ESCALA)
01-00-22-SGAS-217-0000007-PROD-0001;01-00-22-SGAS-217-0000007;DIRECTO_FORZADO_ESCALA;0;null;SGAS;null → SGAS (DIRECTO_FORZADO_ESCALA)
01-10-31-VIDP-346-0000055-PROD-0001;01-10-31-VIDP-346-0000055;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
01-09-11-OERK-216-0000245-PROD-0001;01-09-11-OERK-216-0000245;DIRECTO_FORZADO_ESCALA;0;null;OERK;null → OERK (DIRECTO_FORZADO_ESCALA)
01-04-11-SCEL-276-0000042-PROD-0001;01-04-11-SCEL-276-0000042;DIRECTO_FORZADO_ESCALA;0;null;SCEL;null → SCEL (DIRECTO_FORZADO_ESCALA)
01-12-36-OSDI-263-0000215-PROD-0001;01-12-36-OSDI-263-0000215;DIRECTO_FORZADO_ESCALA;0;null;OSDI;null → OSDI (DIRECTO_FORZADO_ESCALA)
01-09-38-SUAA-266-0000015-PROD-0001;01-09-38-SUAA-266-0000015;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
01-20-10-VIDP-205-0000222-PROD-0001;01-20-10-VIDP-205-0000222;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
01-19-45-OAKB-318-0000233-PROD-0001;01-19-45-OAKB-318-0000233;DIRECTO_FORZADO_ESCALA;0;null;OAKB;null → OAKB (DIRECTO_FORZADO_ESCALA)
01-15-37-SUAA-237-0000015-PROD-0001;01-15-37-SUAA-237-0000015;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
01-13-50-SKBO-325-0000025-PROD-0001;01-13-50-SKBO-325-0000025;DIRECTO_FORZADO_ESCALA;0;null;SKBO;null → SKBO (DIRECTO_FORZADO_ESCALA)
02-00-07-VIDP-262-0000058-PROD-0001;02-00-07-VIDP-262-0000058;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
02-00-21-OPKC-207-0000294-PROD-0001;02-00-21-OPKC-207-0000294;DIRECTO_FORZADO_ESCALA;0;null;OPKC;null → OPKC (DIRECTO_FORZADO_ESCALA)
02-01-39-VIDP-307-0000007-PROD-0001;02-01-39-VIDP-307-0000007;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
01-18-05-SUAA-226-0000216-PROD-0001;01-18-05-SUAA-226-0000216;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
01-18-07-SABE-334-0000050-PROD-0001;01-18-07-SABE-334-0000050;DIRECTO_FORZADO_ESCALA;0;null;SABE;null → SABE (DIRECTO_FORZADO_ESCALA)
02-01-02-UMMS-307-0000210-PROD-0001;02-01-02-UMMS-307-0000210;DIRECTO_FORZADO_ESCALA;0;null;UMMS;null → UMMS (DIRECTO_FORZADO_ESCALA)
02-01-52-LOWW-215-0000001-PROD-0001;02-01-52-LOWW-215-0000001;DIRECTO_FORZADO_ESCALA;0;null;LOWW;null → LOWW (DIRECTO_FORZADO_ESCALA)
02-04-33-LKPR-275-0000019-PROD-0001;02-04-33-LKPR-275-0000019;DIRECTO_FORZADO_ESCALA;0;null;LKPR;null → LKPR (DIRECTO_FORZADO_ESCALA)
02-05-12-EDDI-277-0000312-PROD-0001;02-05-12-EDDI-277-0000312;DIRECTO_FORZADO_ESCALA;0;null;EDDI;null → EDDI (DIRECTO_FORZADO_ESCALA)
02-00-02-SUAA-332-0000021-PROD-0001;02-00-02-SUAA-332-0000021;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
02-09-57-EKCH-305-0000014-PROD-0001;02-09-57-EKCH-305-0000014;DIRECTO_FORZADO_ESCALA;0;null;EKCH;null → EKCH (DIRECTO_FORZADO_ESCALA)
02-10-23-LKPR-279-0000277-PROD-0001;02-10-23-LKPR-279-0000277;DIRECTO_FORZADO_ESCALA;0;null;LKPR;null → LKPR (DIRECTO_FORZADO_ESCALA)
02-05-05-SUAA-238-0000022-PROD-0001;02-05-05-SUAA-238-0000022;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
02-06-13-SKBO-264-0000230-PROD-0001;02-06-13-SKBO-264-0000230;DIRECTO_FORZADO_ESCALA;0;null;SKBO;null → SKBO (DIRECTO_FORZADO_ESCALA)
02-16-09-OERK-325-0000014-PROD-0001;02-16-09-OERK-325-0000014;DIRECTO_FORZADO_ESCALA;0;null;OERK;null → OERK (DIRECTO_FORZADO_ESCALA)
02-16-40-OERK-338-0000270-PROD-0001;02-16-40-OERK-338-0000270;DIRECTO_FORZADO_ESCALA;0;null;OERK;null → OERK (DIRECTO_FORZADO_ESCALA)
02-12-47-SGAS-217-0000143-PROD-0001;02-12-47-SGAS-217-0000143;DIRECTO_FORZADO_ESCALA;0;null;SGAS;null → SGAS (DIRECTO_FORZADO_ESCALA)
02-23-50-VIDP-297-0000020-PROD-0001;02-23-50-VIDP-297-0000020;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
02-23-04-OERK-253-0000148-PROD-0001;02-23-04-OERK-253-0000148;DIRECTO_FORZADO_ESCALA;0;null;OERK;null → OERK (DIRECTO_FORZADO_ESCALA)
02-23-35-OSDI-265-0000248-PROD-0001;02-23-35-OSDI-265-0000248;DIRECTO_FORZADO_ESCALA;0;null;OSDI;null → OSDI (DIRECTO_FORZADO_ESCALA)
02-19-26-SLLP-318-0000067-PROD-0001;02-19-26-SLLP-318-0000067;DIRECTO_FORZADO_ESCALA;0;null;SLLP;null → SLLP (DIRECTO_FORZADO_ESCALA)
02-21-05-SABE-266-0000006-PROD-0001;02-21-05-SABE-266-0000006;DIRECTO_FORZADO_ESCALA;0;null;SABE;null → SABE (DIRECTO_FORZADO_ESCALA)
03-05-56-VIDP-334-0000019-PROD-0001;03-05-56-VIDP-334-0000019;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
03-04-02-EDDI-204-0000164-PROD-0001;03-04-02-EDDI-204-0000164;DIRECTO_FORZADO_ESCALA;0;null;EDDI;null → EDDI (DIRECTO_FORZADO_ESCALA)
03-06-12-OPKC-257-0000302-PROD-0001;03-06-12-OPKC-257-0000302;DIRECTO_FORZADO_ESCALA;0;null;OPKC;null → OPKC (DIRECTO_FORZADO_ESCALA)
03-06-16-OJAI-342-0000033-PROD-0001;03-06-16-OJAI-342-0000033;DIRECTO_FORZADO_ESCALA;0;null;OJAI;null → OJAI (DIRECTO_FORZADO_ESCALA)
03-08-21-OJAI-245-0000012-PROD-0001;03-08-21-OJAI-245-0000012;DIRECTO_FORZADO_ESCALA;0;null;OJAI;null → OJAI (DIRECTO_FORZADO_ESCALA)
03-03-22-SUAA-253-0000002-PROD-0001;03-03-22-SUAA-253-0000002;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
03-02-33-SLLP-260-0000021-PROD-0001;03-02-33-SLLP-260-0000021;DIRECTO_FORZADO_ESCALA;0;null;SLLP;null → SLLP (DIRECTO_FORZADO_ESCALA)
03-06-19-SBBR-235-0000246-PROD-0001;03-06-19-SBBR-235-0000246;DIRECTO_FORZADO_ESCALA;0;null;SBBR;null → SBBR (DIRECTO_FORZADO_ESCALA)
03-13-04-OJAI-314-0000013-PROD-0001;03-13-04-OJAI-314-0000013;DIRECTO_FORZADO_ESCALA;0;null;OJAI;null → OJAI (DIRECTO_FORZADO_ESCALA)
03-07-29-SGAS-263-0000025-PROD-0001;03-07-29-SGAS-263-0000025;DIRECTO_FORZADO_ESCALA;0;null;SGAS;null → SGAS (DIRECTO_FORZADO_ESCALA)
03-08-44-SLLP-225-0000021-PROD-0001;03-08-44-SLLP-225-0000021;DIRECTO_FORZADO_ESCALA;0;null;SLLP;null → SLLP (DIRECTO_FORZADO_ESCALA)
03-10-00-SABE-211-0000004-PROD-0001;03-10-00-SABE-211-0000004;DIRECTO_FORZADO_ESCALA;0;null;SABE;null → SABE (DIRECTO_FORZADO_ESCALA)
03-14-16-SBBR-328-0000102-PROD-0001;03-14-16-SBBR-328-0000102;DIRECTO_FORZADO_ESCALA;0;null;SBBR;null → SBBR (DIRECTO_FORZADO_ESCALA)
03-13-05-SEQM-286-0000124-PROD-0001;03-13-05-SEQM-286-0000124;DIRECTO_FORZADO_ESCALA;0;null;SEQM;null → SEQM (DIRECTO_FORZADO_ESCALA)
03-22-13-LATI-204-0000006-PROD-0001;03-22-13-LATI-204-0000006;DIRECTO_FORZADO_ESCALA;0;null;LATI;null → LATI (DIRECTO_FORZADO_ESCALA)
03-23-47-OAKB-320-0000093-PROD-0001;03-23-47-OAKB-320-0000093;DIRECTO_FORZADO_ESCALA;0;null;OAKB;null → OAKB (DIRECTO_FORZADO_ESCALA)
03-23-22-EHAM-256-0000022-PROD-0001;03-23-22-EHAM-256-0000022;DIRECTO_FORZADO_ESCALA;0;null;EHAM;null → EHAM (DIRECTO_FORZADO_ESCALA)
03-23-25-LOWW-317-0000017-PROD-0001;03-23-25-LOWW-317-0000017;DIRECTO_FORZADO_ESCALA;0;null;LOWW;null → LOWW (DIRECTO_FORZADO_ESCALA)
03-15-29-SEQM-229-0000208-PROD-0001;03-15-29-SEQM-229-0000208;DIRECTO_FORZADO_ESCALA;0;null;SEQM;null → SEQM (DIRECTO_FORZADO_ESCALA)
04-00-38-OYSN-215-0000173-PROD-0001;04-00-38-OYSN-215-0000173;DIRECTO_FORZADO_ESCALA;0;null;OYSN;null → OYSN (DIRECTO_FORZADO_ESCALA)
03-17-42-SVMI-247-0000182-PROD-0001;03-17-42-SVMI-247-0000182;DIRECTO_FORZADO_ESCALA;0;null;SVMI;null → SVMI (DIRECTO_FORZADO_ESCALA)
04-03-33-VIDP-339-0000004-PROD-0001;04-03-33-VIDP-339-0000004;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
04-03-34-VIDP-309-0000069-PROD-0001;04-03-34-VIDP-309-0000069;DIRECTO_FORZADO_ESCALA;0;null;VIDP;null → VIDP (DIRECTO_FORZADO_ESCALA)
03-20-58-SVMI-349-0000089-PROD-0001;03-20-58-SVMI-349-0000089;DIRECTO_FORZADO_ESCALA;0;null;SVMI;null → SVMI (DIRECTO_FORZADO_ESCALA)
04-04-40-OYSN-295-0000018-PROD-0001;04-04-40-OYSN-295-0000018;DIRECTO_FORZADO_ESCALA;0;null;OYSN;null → OYSN (DIRECTO_FORZADO_ESCALA)
03-20-49-SKBO-292-0000287-PROD-0001;03-20-49-SKBO-292-0000287;DIRECTO_FORZADO_ESCALA;0;null;SKBO;null → SKBO (DIRECTO_FORZADO_ESCALA)
04-05-03-SABE-217-0000071-PROD-0001;04-05-03-SABE-217-0000071;DIRECTO_FORZADO_ESCALA;0;null;SABE;null → SABE (DIRECTO_FORZADO_ESCALA)
04-14-09-OOMS-245-0000015-PROD-0001;04-14-09-OOMS-245-0000015;DIRECTO_FORZADO_ESCALA;0;null;OOMS;null → OOMS (DIRECTO_FORZADO_ESCALA)
04-07-15-SUAA-220-0000185-PROD-0001;04-07-15-SUAA-220-0000185;DIRECTO_FORZADO_ESCALA;0;null;SUAA;null → SUAA (DIRECTO_FORZADO_ESCALA)
04-15-33-OAKB-249-0000018-PROD-0001;04-15-33-OAKB-249-0000018;DIRECTO_FORZADO_ESCALA;0;null;OAKB;null → OAKB (DIRECTO_FORZADO_ESCALA)
04-14-52-EHAM-324-0000007-PROD-0001;04-14-52-EHAM-324-0000007;DIRECTO_FORZADO_ESCALA;0;null;EHAM;null → EHAM (DIRECTO_FORZADO_ESCALA)
04-15-56-OSDI-294-0000008-PROD-0001;04-15-56-OSDI-294-0000008;DIRECTO_FORZADO_ESCALA;0;null;OSDI;null → OSDI (DIRECTO_FORZADO_ESCALA)
04-16-49-OYSN-257-0000003-PROD-0001;04-16-49-OYSN-257-0000003;DIRECTO_FORZADO_ESCALA;0;null;OYSN;null → OYSN (DIRECTO_FORZADO_ESCALA)
