PEDIDO;PRODUCTO;RUTA;TIPO;VUELO_INSTANCIA
01-00-57-OPKC-320-0000308;01-00-57-OPKC-320-0000308-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
01-00-08-EHAM-287-0000011;01-00-08-EHAM-287-0000011-PROD-0001;null → EHAM (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EHAM-0112-2025-10-05
01-01-33-OMDB-251-0000011;01-01-33-OMDB-251-0000011-PROD-0001;null → OMDB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OMDB-0455-2025-10-05
01-07-21-OPKC-288-0000003;01-07-21-OPKC-288-0000003-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
01-07-07-OAKB-230-0000264;01-07-07-OAKB-230-0000264-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
01-00-22-SGAS-217-0000007;01-00-22-SGAS-217-0000007-PROD-0001;null → SGAS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SGAS-0610-2025-10-05
01-10-31-VIDP-346-0000055;01-10-31-VIDP-346-0000055-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
01-09-11-OERK-216-0000245;01-09-11-OERK-216-0000245-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
01-04-11-SCEL-276-0000042;01-04-11-SCEL-276-0000042-PROD-0001;null → SCEL (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SCEL-0020-2025-10-05
01-12-36-OSDI-263-0000215;01-12-36-OSDI-263-0000215-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
01-09-38-SUAA-266-0000015;01-09-38-SUAA-266-0000015-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
01-20-10-VIDP-205-0000222;01-20-10-VIDP-205-0000222-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
01-19-45-OAKB-318-0000233;01-19-45-OAKB-318-0000233-PROD-0001;null → OAKB (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OAKB-0424-2025-10-05
01-15-37-SUAA-237-0000015;01-15-37-SUAA-237-0000015-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
01-13-50-SKBO-325-0000025;01-13-50-SKBO-325-0000025-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
02-00-07-VIDP-262-0000058;02-00-07-VIDP-262-0000058-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
02-00-21-OPKC-207-0000294;02-00-21-OPKC-207-0000294-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
02-01-39-VIDP-307-0000007;02-01-39-VIDP-307-0000007-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
01-18-05-SUAA-226-0000216;01-18-05-SUAA-226-0000216-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
01-18-07-SABE-334-0000050;01-18-07-SABE-334-0000050-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
02-01-02-UMMS-307-0000210;02-01-02-UMMS-307-0000210-PROD-0001;null → UMMS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-UMMS-0241-2025-10-05
02-01-52-LOWW-215-0000001;02-01-52-LOWW-215-0000001-PROD-0001;null → LOWW (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LOWW-0134-2025-10-05
02-04-33-LKPR-275-0000019;02-04-33-LKPR-275-0000019-PROD-0001;null → LKPR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LKPR-0532-2025-10-05
02-05-12-EDDI-277-0000312;02-05-12-EDDI-277-0000312-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
02-00-02-SUAA-332-0000021;02-00-02-SUAA-332-0000021-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
02-09-57-EKCH-305-0000014;02-09-57-EKCH-305-0000014-PROD-0001;null → EKCH (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EKCH-0149-2025-10-05
02-10-23-LKPR-279-0000277;02-10-23-LKPR-279-0000277-PROD-0001;null → LKPR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-LKPR-0532-2025-10-05
02-05-05-SUAA-238-0000022;02-05-05-SUAA-238-0000022-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
02-06-13-SKBO-264-0000230;02-06-13-SKBO-264-0000230-PROD-0001;null → SKBO (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SEQM-SKBO-0429-2025-10-05
02-16-09-OERK-325-0000014;02-16-09-OERK-325-0000014-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
02-16-40-OERK-338-0000270;02-16-40-OERK-338-0000270-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
02-12-47-SGAS-217-0000143;02-12-47-SGAS-217-0000143-PROD-0001;null → SGAS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SGAS-0610-2025-10-05
02-23-50-VIDP-297-0000020;02-23-50-VIDP-297-0000020-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
02-23-04-OERK-253-0000148;02-23-04-OERK-253-0000148-PROD-0001;null → OERK (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OERK-0545-2025-10-05
02-23-35-OSDI-265-0000248;02-23-35-OSDI-265-0000248-PROD-0001;null → OSDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OSDI-0414-2025-10-05
02-19-26-SLLP-318-0000067;02-19-26-SLLP-318-0000067-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
02-21-05-SABE-266-0000006;02-21-05-SABE-266-0000006-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
03-05-56-VIDP-334-0000019;03-05-56-VIDP-334-0000019-PROD-0001;null → VIDP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-VIDP-0544-2025-10-05
03-04-02-EDDI-204-0000164;03-04-02-EDDI-204-0000164-PROD-0001;null → EDDI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-EDDI-0200-2025-10-05
03-06-12-OPKC-257-0000302;03-06-12-OPKC-257-0000302-PROD-0001;null → OPKC (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OPKC-0517-2025-10-05
03-06-16-OJAI-342-0000033;03-06-16-OJAI-342-0000033-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
03-08-21-OJAI-245-0000012;03-08-21-OJAI-245-0000012-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
03-03-22-SUAA-253-0000002;03-03-22-SUAA-253-0000002-PROD-0001;null → SUAA (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SUAA-2233-2025-10-05
03-02-33-SLLP-260-0000021;03-02-33-SLLP-260-0000021-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
03-06-19-SBBR-235-0000246;03-06-19-SBBR-235-0000246-PROD-0001;null → SBBR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SBBR-0623-2025-10-05
03-13-04-OJAI-314-0000013;03-13-04-OJAI-314-0000013-PROD-0001;null → OJAI (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-OJAI-0519-2025-10-05
03-07-29-SGAS-263-0000025;03-07-29-SGAS-263-0000025-PROD-0001;null → SGAS (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SGAS-0610-2025-10-05
03-08-44-SLLP-225-0000021;03-08-44-SLLP-225-0000021-PROD-0001;null → SLLP (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SLLP-2133-2025-10-05
03-10-00-SABE-211-0000004;03-10-00-SABE-211-0000004-PROD-0001;null → SABE (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SABE-0041-2025-10-05
03-14-16-SBBR-328-0000102;03-14-16-SBBR-328-0000102-PROD-0001;null → SBBR (DIRECTO_FORZADO_ESCALA);DIRECTO_FORZADO_ESCALA;SKBO-SBBR-0623-2025-10-05
